team,player,period,min,sec,pass zone,x,y,x_end,y_end,pass length,pass angle,outcome
Real Madrid,Casemiro,1,6,46,Center,51.8,32.5,71.4,27.4,20.9,6.1,0
Leganés,Jonathan Silva,1,6,47,Back,33.5,80.5,45.0,81.2,12.1,0.0,1
Leganés,Michael Santos,1,6,49,Back,45.1,81.5,40.1,86.3,6.2,2.6,1
Real Madrid,Casemiro,1,6,53,Center,73.5,13.1,67.0,24.4,10.3,2.3,1
Real Madrid,Luka Modric,1,6,54,Back,64.3,24.6,43.2,35.7,23.4,2.8,1
Real Madrid,Raphael Varane,1,6,56,Back,43.2,35.7,18.7,47.0,26.8,2.9,1
Real Madrid,Thibaut Courtois,1,7,1,Back,21.9,48.2,32.7,77.0,22.6,1.0,1
Real Madrid,Sergio Ramos,1,7,3,Back,32.7,77.2,45.3,78.4,13.3,0.1,1
Real Madrid,Toni Kroos,1,7,5,Back,44.5,78.1,46.6,61.5,11.5,4.9,1
Real Madrid,Casemiro,1,7,6,Back,46.9,60.6,31.4,40.7,21.2,3.8,1
Real Madrid,Raphael Varane,1,7,9,Right,32.5,37.3,66.4,4.1,42.2,5.7,1
Real Madrid,Daniel Carvajal,1,7,12,Right,71.5,3.8,65.5,14.6,9.7,2.3,1
Real Madrid,Luka Modric,1,7,14,Center,65.5,14.9,70.9,25.0,8.9,0.9,1
Real Madrid,Karim Benzema,1,7,16,Right,72.7,18.2,73.1,10.1,5.5,4.8,1
Real Madrid,Gareth Bale,1,7,17,Right,73.1,7.7,68.2,10.6,5.5,2.8,1
Real Madrid,Luka Modric,1,7,18,Center,68.2,10.6,68.2,24.7,9.6,1.6,1
Real Madrid,Marco Asensio,1,7,19,Center,68.8,25.2,59.9,38.8,13.1,2.4,1
Real Madrid,Casemiro,1,7,22,Left,60.5,33.4,66.2,96.9,43.6,1.4,1
Real Madrid,Marcelo,1,7,24,Left,66.3,95.0,65.7,88.1,4.7,4.6,1
Leganés,Guido Carrillo,1,7,27,Back,36.8,21.2,28.9,7.6,12.4,4.0,1
Leganés,Juanfran,1,7,28,Back,29.3,10.8,41.9,13.9,13.4,0.2,0
Real Madrid,Toni Kroos,1,7,33,Left,67.6,97.8,60.2,97.1,7.8,3.2,1
Real Madrid,Casemiro,1,7,38,Left,60.0,96.8,63.4,79.6,12.2,5.0,1
Real Madrid,Luka Modric,1,7,39,Left,63.6,76.0,56.4,91.8,13.1,2.2,1
Real Madrid,Casemiro,1,7,40,Back,57.5,89.1,45.1,78.7,14.8,3.6,1
Real Madrid,Sergio Ramos,1,7,42,Left,42.3,82.3,55.7,95.4,16.7,0.6,1
Real Madrid,Toni Kroos,1,7,44,Back,56.2,85.6,39.4,43.6,33.6,4.2,1
Real Madrid,Raphael Varane,1,7,48,Right,37.7,38.9,54.0,11.0,25.6,5.4,1
Real Madrid,Daniel Carvajal,1,7,50,Right,55.9,10.4,63.3,3.2,9.2,5.7,1
Real Madrid,Gareth Bale,1,7,56,Left,65.3,16.4,70.1,93.3,52.5,1.5,1
Real Madrid,Marcelo,1,7,59,Left,69.0,92.0,66.7,85.9,4.8,4.2,1
Real Madrid,Toni Kroos,1,8,2,Center,65.5,77.3,67.2,69.1,5.9,5.0,1
Real Madrid,Luka Modric,1,8,3,Center,65.8,67.8,70.1,67.3,4.5,6.2,1
Real Madrid,Karim Benzema,1,8,4,Center,71.1,63.7,69.1,40.6,15.8,4.6,1
